mark,title,price,price_adjusted,link,addr,社區,車位費,管理費,poster,養寵物,提供設備,格局,坪數,樓層,型態,id,fetched,desc,連絡電話,性別要求,城市,屋主自行刊登
,松山路@永春捷運站5分鐘屈臣式後面限女性,12800,12800,https://rent.591.com.tw/rent-detail-5289913.html,信義區松山路465巷,,,,屋主: 瑞秋小姐,No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 桌椅",分租套房,6.5坪,4F/4F,公寓,5289913,2022-04-25,"近永春捷運站 、生活機能佳、餐食方便、附近有101百貨華納威秀世貿二館、五分埔商圈‧1高 雅精緻溫馨套房、環境優安全、房間採光佳、限有正職工作者、限女性。2磚牆水泥隔間、附床組、化妝台、分離式冷氣、電視機、冰箱、書桌、衣櫥、第四台、ADSL、網路線、每戶獨立洗衣機、飲水機、鞋櫃、二十四小時儲熱電熱水器、水費免、電費另計。3禁養寵物。
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。
本房屋近永春里公車站、永春捷運站。",0986-851-077轉1594935,限女生,Taipei,yes
,"環境好,通風好,公園在對面,生活機能環境",12000,12000,https://rent.591.com.tw/rent-detail-12415844.html,松山區寶清街30巷,,,無,屋主: 吳先生 (仲介勿擾),Yes,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 天然瓦斯, 沙發, 桌椅, 陽台",分租套房,7坪,頂層加蓋/5F,公寓,12415844,2022-04-25,"環境好,通風好,公園在對面,生活機能環境非常好,大面積氣密窗採光好,有專屬陽台有日照有棟距曬衣服非常快乾清幽好,離塵不離城,周遭沒什麼鄰居,安靜住起來舒服交通非常方便,公車無敵快,班次非常多,走路三分鐘內有南京三民捷運,市場,夜市,松山車站吃東西非常方便走路三分鐘內有30幾家餐廳買東西非常方便,走路三分鐘內有三家7-11家庭百貨菜市場康是美屈臣氏寄東西存錢非常方便,走路三分鐘內有郵局銀行運動方便非常走路,三分鐘內有world gyn設備好,有分離式冷氣,55吋液晶電視,冰箱,洗衣機,擴大機,喇叭,立式蒸汽熨斗,微波盧,咖啡機安全好有大門監視器衛生好有專屬衛浴,免治馬桶,濾水器,蒸氣拖把,好神拖,掃把福利好.包水費,包迪士尼+串流平台免費看, 長德第四台,中華電信專線adsl 100m,專線獨立電表丟垃圾非常方便,垃圾車定時開到走路一分鐘旁巷口有興趣可約看屋 吳先生手機中華電信 0917-800000，可加我 line id  0917800000
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。
本房屋近南京公寓公車站、南京三民捷運站、松山火車站。",0917-800-000,男女皆可,Taipei,yes
,民生社區一樓(可住辦有地下室),55000,55000,https://rent.591.com.tw/rent-detail-12456972.html,松山區三民路180巷16號,民生社區,,無,代理人: 楊小姐,,"天然瓦斯, 1陽台",3房2廳2衛,48.22坪,1F/5F,公寓,12456972,2022-04-25,"漫步民生社區家樂福商圈 邊間各房間皆有對外窗可辦公 可倉庫 可住家  工作室 停車方便  學區旁 面寬方正好規劃有室內梯至地下室(獨立使用 通風採光佳 )近南京三民捷運站 多線公車  生活機能佳 文教氣息高一樓坪數:約36坪 、 地下室坪數約12坪，合計坪數48.22坪幫家人出租，免仲介費PS:看屋需提前一天以上預約，不接受臨時安排看屋。（需設立公司號、申報稅務，租金另計）
附近有便利商店、傳統市場、公園綠地、學校。",0937-665-656,,Taipei,no
x,近國父紀念館優質電梯大樓24小時管理,52000,57520,https://rent.591.com.tw/rent-detail-12450631.html,信義區光復南路,仁愛page1,費用另計,"3,020元/月",屋主: 包先生 (仲介勿擾),No,"冰箱, 電視, 冷氣, 熱水器, 床, 衣櫃, 沙發, 桌椅, 1陽台, 電梯, 機械車位",2房1廳1衛,25.17坪,10F/16F,電梯大樓,12450631,2022-04-25,"A級地段，中高樓層，格局方正，裝潢舒適高雅近國父紀念館、信義百貨商圈生活便利時尚，附家具家電，可立即入住車位可另租
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。
本房屋近國父紀念館公車站、世貿公車站、國父紀念館捷運站、信義安和捷運站。",0932-212-200,男女皆可,Taipei,yes
,松山區套房出租,11000,11000,https://rent.591.com.tw/rent-detail-12466961.html,松山區延壽街,,,無,屋主: 錢太太,No,"冰箱, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 天然瓦斯, 桌椅",分租套房,6坪,2F/4F,公寓,12466961,2022-04-25,生活機能佳 交通便利 公園綠地多 近學區,0937-185-561,男女皆可,Taipei,yes
,陽明山觀景庭園別墅,250000,260000,https://rent.591.com.tw/rent-detail-12409718.html,士林區莊頂路172巷,柏園山莊,,"10,000元/月",屋主: 劉先生,,"冰箱, 冷氣, 熱水器, 衣櫃, 3陽台, 平面車位",6房3廳3衛,136坪,整棟/2F,別墅,12409718,2022-04-25,觀景視野，格局方正。優質社區，24小時警衛，安全安心。,0933-718-725,,Taipei,yes
,華山藝文市中心精華區住家,27000,27000,https://rent.591.com.tw/rent-detail-12438963.html,中正區忠孝東路二段39巷,,,,屋主: 李先生,No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 沙發, 桌椅, 陽台",分租套房,14坪,2F/4F,公寓,12438963,2022-04-25,"近華山藝文，捷運市中心住家，離捷運近，鬧中取靜，有客廳與簡易廚房，全新裝潢與傢俱
附近有便利商店、公園綠地。",0986-851-077轉1590948,男女皆可,Taipei,yes
,溫馨雙人大套房限女生近萬隆/景美捷運站,12000,12000,https://rent.591.com.tw/rent-detail-12347271.html,文山區興隆路一段202巷,,,無,屋主: 陳小姐 (仲介勿擾),No,"冰箱, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 桌椅",獨立套房,7坪,3F/4F,公寓,12347271,2022-04-25,"溫馨套房，萬隆捷運站-2號出口旁，公園綠地旁 適居住走路進捷運5分鐘內，頂好、7-11、公園在隔壁，交通生活機能優單純套房，限定女姓~ 很適合打拚的職場新鮮人及北上求學的學生聯絡方式: 陳小姐  0981999839租屋樓層 - 公寓3樓，全棟4樓房間坪數: 302 室-7 坪 套房 租金- 每月12000元  (優惠，可面議)房間 有對外窗，採光通風佳( 全室木質地板 )專屬儲熱式熱水器(不共用)擁有專屬的更衣間(不共用)雙人床+床頭櫃書桌40吋液晶電視出租套房地點:羅斯福路六段/景隆街口                      萬隆捷運站2號出口旁步行約5分鐘內                                           近景美夜市、離公車站3分鐘內             近世新大學、師大分部、台大(機車5分鐘內)租金包含: 公用電/第4台/網路/水費          各房電費另計有獨立電表，只需負擔個人室內用電          用多少支付多少即可，每度6元隔間材質: 水泥 + 磚牆，隔音佳(不是一般輕隔間)套房押金: 二個月附    註: 房東用心經營，親切貼心
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。
本房屋近萬隆公車站、萬隆捷運站。",0981-999-839,限女生,Taipei,yes
,北漂小資族最愛,19999,19999,https://rent.591.com.tw/rent-detail-12344664.html,中正區汀州路一段,,,無,屋主: 曾小姐 (仲介勿擾),No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 沙發, 桌椅, 陽台",獨立套房,10坪,3F/4F,公寓,12344664,2022-04-25,"💥超美設計‘’全新‘’裝潢💥💥最佳首選💥💥配備43吋電視⋯等等家具；都齊全💥📌設計師裝潢📌挑戰套房最高階的1房1廳1衛📌有自己的廚房小空間、一卡皮箱就能入住，傢俱齊全。📌格局方正，隱密性極高，舒適採光，通風良好📌裝設高規氣密窗，隔音效果好📌收納櫃體多，收納空間沒煩惱📌乾濕分離衛浴，使用乾爽不潮濕📌垃圾將由專人代收，房客免追垃圾車房內設備○   全新獨立筒床墊○   43吋液晶電視 + 數位機上盒○   個人專屬廚具 – 電陶爐 – 排油煙機 – 冰箱 + 洗衣機○   衛浴設備 – 乾溼分離○   雙人沙發 – 訂製衣櫃○   專屬個人曬衣空間、陽台○   一房一廳一廚房公共設備○   賀眾牌冰溫熱飲水機○   獨立陽台🍀不怕你的愛車沒車位；樓下就是停車場！🍀家門前面有美廉社、龍口市場；鄰近7-11、全家🍀機車族只需要5-10分鐘就可抵達西門町、台北車站、永和、南機場🍀近植物園、便利商店、傳統市場，生活機能超棒⭐️歡迎有興趣的朋友立即看房⭐️好屋跑得快，預約別猶豫⭐️看房、諮詢免費🍊（曾小姐）🍊📱電話👉🏻0926303703➕Line ID👉🏻doll680205現在疫情的關係；別忘了😷【帶看全程佩戴口罩】😷😷【保護好自己、保護好他人哦！^_^】😷有喜歡的^_^歡迎預約看房哦！☆*:.｡. o(≧▽≦)o .｡.:*☆
附近有便利商店、傳統市場、公園綠地、學校、醫療機構、夜市。",0926-303-703,男女皆可,Taipei,yes
,南港路三段47巷8號B4車位,4500,4500,https://rent.591.com.tw/rent-detail-12403629.html,南港區南港路三段47巷8號,,,,代理人: 周先生,,,11坪,室內地下,平面式,最短租期三個月,12403629,2022-04-25,位置 中華賓士隔壁 面公園 近 市民大道  B4 整層23個  B3可單租,02-27838888,,Taipei,no
,所有相遇都是靈魂的思念，當天下訂送半個月,8000,8000,https://rent.591.com.tw/rent-detail-12413847.html,北投區中和街20巷,,,無,屋主: 朱小姐 (仲介勿擾),No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 網路, 沙發, 桌椅, 陽台",雅房,4坪,4F/5F,公寓,12413847,2022-04-25,"二年約8000(首月租金5折，限當日下訂)一年約9000LIND  ID:19837252（加LINE會回）給我照片或連結，讓我知道你要看我的房^^謝謝你喜歡這個空間與點進來看我的介紹你是不想再待在小空間的租客這裡室內總坪數有40坪（不含陽台）有「共用客廳有沙發」、「大大餐桌可進食」、「發呆角落可上網」、「單人躺椅可發懶」，來自不同的家庭背景及生活習慣，活成自己喜歡的樣子遇上一些無需取悅的家人都想在台北找個更舒適的家想要有人把家具電都準備齊全回家就可以好好放鬆，也可以找個角落做自己^^這裡真的像民宿，大家都有按規定把個人物品收好放好介紹一下照片裡所看到的設備三人沙發（其實可坐4人）六人餐桌椅（認真數可放8張椅子）個人躺椅兩張（旁邊就是插座，最多人搶著坐）陽台景觀桌椅（公寓4樓也有景色，放空的最佳選擇）流理台（上下櫃收納空間超大）冰箱超過400公升（規定使用冰箱收納盒，冰箱不臭臭）飲水機／冰溫熱三種水源（泡麵不用煮水，夏天不用加冰塊）電子鍋咖啡機氣炸鍋微波爐廁所（三人共用）房間只有住你一個人洗衣機（三人共用）衣櫃工業風單人床（底下可收納）書桌椅交通、生活機能：新北投捷運站走路4分鐘巷口就是7-11、燦坤、手搖店附近就是新北投溫泉區，銀行、吃的、買的、逛的超級方便禁止養寵物禁止抽菸以下費用依帳單分擔水（每月約100）瓦斯（每月約100）電費（每月約300-800）網路120M共用（每月每人100）飲水機冰溫熱，比買飲用水便宜（每月每人100）看房會詢問您的生活習慣，歡迎喜歡交朋友的您一起來做伴性別友善，男女都歡迎加賴約時間最快，工作中無法接電話無法上591回訊息LIND  ID:19837252（加LINE會回）給我照片或連結，讓我知道你要看我的房^^
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。
本房屋近北投捷運站、石牌捷運站、關渡捷運站、台北火車站。",0986-851-077轉1588825,男女皆可,Taipei,yes
,民生重劃區靜巷電梯裝潢大二房,45000,46200,https://rent.591.com.tw/rent-detail-12432339.html,松山區民權東路三段106巷,華廈,,"1,200元/月",屋主: 顏小姐 (仲介勿擾),Yes,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 天然瓦斯, 沙發, 桌椅, 1陽台, 電梯",2房2廳2衛,28坪,4F/7F,電梯大樓,12432339,2022-04-25,"* 二房二廳二衛浴一陽台 ，一層二戶電梯，靜巷居住環境單純通風良好。* 絕美裝潢，設備完善先進，具淨水系統、全室氣密窗、客廳環繞音響系統、主衛浴乾濕分離暖風機、開放式廚房、電動曬衣系統、三星電子門鎖、木作衣櫃鞋櫃、家具齊全拎包入住*交通：鄰近捷運中山國中站(步行約7分鐘)、公車站(民生敦化路口站步行2分鐘、超過20線公車)、松山機場(步行7分鐘)*學區：中山國中(步行2分鐘)、民族國小(步行8分鐘)*生活機能：全聯(步行3分鐘)、便利商店(711、全家步行2分鐘)、醫院(長庚醫院步行7分鐘、附近多家診所)、銀行(步行5分鐘內多家銀行)、公園(步行5分鐘內3公園)、郵局(步行3分鐘)，生活機能應有盡有。
附近有便利商店、公園綠地、學校、醫療機構。",0963-388-889,男女皆可,Taipei,yes
,常殷峰澤台北車站商圈全新(本戶已出租),65000,67500,https://rent.591.com.tw/rent-detail-12405062.html,大同區延平北路一段,常殷峰澤,費用另計,,仲介: 黃先生 (收服務費),,"冷氣, 熱水器, 天然瓦斯, 3陽台, 電梯, 平面車位",3房2廳2衛,36坪,15F/19F,電梯大樓,12405062,2022-04-25,"常殷峰澤社區北車精華商圈全新未住3房 3陽台 雙衛浴開窗 公設齊全可使用 高樓層寬闊視野景觀免治馬桶 蒸烤爐 烘碗機等廚具設備租金已包含管理費清潔費 另有坡道平面車位可談租寵物貓可協商約看屋請攜帶名片工作證看屋不收費 成交收取承租方半個月服務費黃先生 0912-891-976台灣房屋樹林后站加盟店 松安房屋仲介有限公司  北地價字第1013176961號 經紀人:邱信源(98)北縣字第001884號
附近有便利商店、傳統市場、百貨公司、公園綠地、學校、醫療機構、夜市。
本房屋近延平長安路口公車站、南京西路口公車站、北門捷運站、台北車站捷運站、台北火車站。",0912-891-976,,Taipei,no
,昆陽捷運套房步行3分鐘,14000,14000,https://rent.591.com.tw/rent-detail-12458832.html,南港區忠孝東路六段,,,無,屋主: 張小姐,No,"冰箱, 洗衣機, 電視, 冷氣, 熱水器, 床, 衣櫃, 第四台, 網路, 桌椅",分租套房,6坪,3F/4F,公寓,12458832,2022-04-25,昆陽捷運站大套房步行3分鐘雙人套房6坪獨立洗衣機。4樓公寓的3樓,0986-851-077轉1592568,男女皆可,Taipei,yes
,忠孝新生華廈,55000,58656,https://rent.591.com.tw/rent-detail-12391294.html,中正區杭州南路一段77巷,正文仁愛,,"3,656元/月",仲介: 柯先生 (收服務費),,電梯,2房1廳1衛,22.84坪,2F/7F,電梯大樓,12391294,2022-04-25,"華山綠地公園、華山藝文特區及東門市場近忠孝善導寺及忠孝新生捷運站與捷運信義線仁愛路靜巷住商不動產板橋文化加盟店隆城房屋仲介有限公司   本廣告由經紀人證號北縣字第001700號確認無誤
本房屋近忠孝新生捷運站。",0932-128-558,,Taipei,no
